median_command_line_index,circt_td_file,num_command_line_indices
486,include/circt/Dialect/OM/OMEnums.td,2
859,include/circt/Dialect/Handshake/HandshakeInterfaces.td,2
865,include/circt/Dialect/OM/OMOpInterfaces.td,2
871,include/circt/Dialect/Verif/VerifOpInterfaces.td,2
877,include/circt/Support/InstanceGraphInterface.td,2
1250,include/circt/Dialect/FIRRTL/FIRRTLEnums.td,2
1317,include/circt/Dialect/FIRRTL/Passes.td,1
1438,include/circt/Dialect/FIRRTL/FIRRTLCanonicalization.td,1
1611,include/circt/Dialect/FIRRTL/FIRRTLOpInterfaces.td,2
1816,include/circt/Dialect/FIRRTL/FIRRTLTypeInterfaces.td,2
1821,lib/Dialect/FIRRTL/FIRRTLIntrinsics.td,1
3379,include/circt/Dialect/Arc/Arc.td,10
3396,include/circt/Dialect/Calyx/Calyx.td,8
3417,include/circt/Dialect/Comb/Comb.td,8
3429,include/circt/Dialect/Datapath/Datapath.td,6
3447,include/circt/Dialect/DC/DC.td,6
3465,include/circt/Dialect/Debug/Debug.td,6
3483,include/circt/Dialect/Emit/Emit.td,6
3507,include/circt/Dialect/ESI/ESI.td,10
3519,include/circt/Dialect/FIRRTL/CHIRRTL.td,6
3537,include/circt/Dialect/FSM/FSM.td,6
3561,include/circt/Dialect/Handshake/Handshake.td,10
3579,include/circt/Dialect/HW/HW.td,8
3594,include/circt/Dialect/HWArith/HWArith.td,8
3612,include/circt/Dialect/Interop/Interop.td,8
3645,include/circt/Dialect/LoopSchedule/LoopSchedule.td,6
3668,include/circt/Dialect/LTL/LTL.td,9
3693,include/circt/Dialect/Moore/Moore.td,10
3705,include/circt/Dialect/MSFT/MSFT.td,10
3714,include/circt/Dialect/OM/OM.td,8
3735,include/circt/Dialect/Pipeline/Pipeline.td,6
3759,include/circt/Dialect/Kanagawa/Kanagawa.td,10
3774,include/circt/Dialect/RTG/IR/RTG.td,8
3789,include/circt/Dialect/RTGTest/IR/RTGTest.td,6
3813,include/circt/Dialect/Seq/Seq.td,10
3825,include/circt/Dialect/Sim/Sim.td,6
3846,include/circt/Dialect/SSP/SSP.td,8
3867,include/circt/Dialect/SV/SV.td,10
3879,include/circt/Dialect/Synth/Synth.td,6
3903,include/circt/Dialect/SystemC/SystemC.td,10
3912,include/circt/Dialect/Verif/Verif.td,8
3930,include/circt/Dialect/FIRRTL/FIRRTL.td,8
4577,include/circt/Dialect/HW/HWEnums.td,2
4583,include/circt/Dialect/RTG/IR/RTGInterfaces.td,6
4685,include/circt/Dialect/Arc/ArcPasses.td,3
4691,include/circt/Dialect/ESI/ESIPasses.td,1
4694,include/circt/Dialect/HW/Passes.td,1
4882,include/circt/Dialect/HW/HWCanonicalization.td,1
4885,include/circt/Dialect/Kanagawa/KanagawaPasses.td,1
5267,include/circt/Dialect/Handshake/HandshakeCanonicalization.td,1
5271,include/circt/Dialect/HW/HWOpInterfaces.td,2
5301,include/circt/Dialect/Kanagawa/KanagawaInterfaces.td,2
5310,include/circt/Dialect/RTG/IR/RTGISAAssemblyInterfaces.td,6
5310,include/circt/Dialect/Seq/SeqPasses.td,1
5317,include/circt/Dialect/Sim/SimOpInterfaces.td,2
5463,include/circt/Dialect/Arc/ArcInterfaces.td,2
5469,include/circt/Dialect/Calyx/CalyxInterfaces.td,2
5482,include/circt/Dialect/Emit/EmitOpInterfaces.td,2
5488,include/circt/Dialect/ESI/ESIInterfaces.td,2
5493,include/circt/Dialect/Handshake/HandshakePasses.td,1
5497,include/circt/Dialect/HW/HWTypeInterfaces.td,2
5505,include/circt/Dialect/HWArith/HWArithCanonicalizations.td,1
5540,include/circt/Dialect/MSFT/MSFTOpInterfaces.td,2
5563,include/circt/Dialect/Sim/SimPasses.td,1
5567,include/circt/Dialect/Seq/SeqOpInterfaces.td,2
5582,include/circt/Dialect/SystemC/SystemCOpInterfaces.td,2
6157,include/circt/Dialect/MSFT/MSFTPasses.td,1
6320,include/circt/Conversion/Passes.td,3
6326,include/circt/Dialect/Synth/Transforms/SynthPasses.td,1
6332,include/circt/Transforms/Passes.td,3
6484,include/circt/Dialect/Comb/Passes.td,1
6487,include/circt/Dialect/Datapath/DatapathPasses.td,1
6490,include/circt/Dialect/OM/OMPasses.td,1
6494,include/circt/Dialect/RTG/IR/RTGAttributes.td,2
6505,include/circt/Dialect/SV/SVPasses.td,1
6508,include/circt/Dialect/Verif/Passes.td,1
6672,include/circt/Dialect/RTGTest/IR/RTGTestAttributes.td,4
6822,include/circt/Dialect/Calyx/CalyxPasses.td,1
6825,include/circt/Dialect/DC/DCPasses.td,1
6828,include/circt/Dialect/Emit/EmitPasses.td,1
6831,include/circt/Dialect/FSM/Passes.td,1
6837,include/circt/Dialect/RTG/Transforms/RTGPasses.td,3
7359,include/circt/Dialect/Moore/MoorePasses.td,1
7362,include/circt/Dialect/Pipeline/PipelinePasses.td,1
7365,include/circt/Dialect/SSP/SSPPasses.td,1
7368,include/circt/Dialect/SystemC/Passes.td,1
7374,include/circt/Tools/circt-bmc/Passes.td,3
7383,include/circt/Tools/circt-lec/Passes.td,3
